6.159423629819810175e-01,6.409394887982750380e-03
8.218548141597212808e-01,4.234257145217952198e-03
8.831721188502259512e-01,3.472344268395824267e-03
9.296447361884964122e-01,2.574586545598050048e-03
9.450002936931829467e-01,2.242130791342137816e-03
9.566205317962122034e-01,1.768188995275233070e-03
9.656849778343039592e-01,1.428235448011514310e-03
9.728404325064805569e-01,1.193599644319638057e-03
9.786452960087819175e-01,1.065186754442311659e-03
9.819855837181490354e-01,8.962397090976676915e-04
9.846385541359869986e-01,7.706834757826191203e-04
9.868090807254977781e-01,6.709525423066698899e-04
9.886744440162821279e-01,5.844251671066379508e-04
9.903084329945193165e-01,5.081789086393734582e-04
9.917683646378521178e-01,4.384620416088688341e-04
9.930852177745683740e-01,3.753612206821115818e-04
9.942771962676336672e-01,3.198290980622120949e-04
9.953602579887238511e-01,2.699535912160516151e-04
9.963456169306292853e-01,2.227953695655758115e-04
9.972435189474051498e-01,1.767334946283549745e-04
9.980572390145222572e-01,1.319142522104793463e-04
9.987900055225181761e-01,9.095819118689275255e-05
9.994408101662628496e-01,5.190958613789425013e-05
1.000000000000000000e+00,1.954118680974996561e-16
